example_id                                                             | status | run_time        |
./spec/controllers/desktop/pets_controller_spec.rb[1:9:4:3]            | passed | 0.00702 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:9:5:1:1]          | passed | 0.00773 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:9:5:2:1]          | passed | 0.00751 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:9:5:3]            | passed | 0.00534 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:1:1]       | passed | 0.03258 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:1:2]       | passed | 0.0332 seconds  |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:1:3]       | passed | 0.03221 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:1:4]       | passed | 0.03643 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:1:5]       | passed | 0.04922 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:2:1]       | passed | 0.01012 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:2:2]       | passed | 0.01041 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:2:3]       | passed | 0.01315 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:3:1:1]     | passed | 0.01071 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:3:1:2]     | passed | 0.01022 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:3:2:1]     | passed | 0.00986 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:3:2:2]     | passed | 0.00956 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:3:3]       | passed | 0.01039 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:4:1]       | passed | 0.01167 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:4:2]       | passed | 0.01189 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:5:1]       | passed | 0.01284 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:5:2]       | passed | 0.01222 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:5:3:1]     | passed | 0.01118 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:6:1:1]     | passed | 0.01408 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:6:1:2]     | passed | 0.01242 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:6:2:1]     | passed | 0.01285 seconds |
./spec/controllers/employee_app/grooms_controller_spec.rb[1:6:2:2]     | passed | 0.01136 seconds |
./spec/controllers/employee_app/mobile_app_controller_spec.rb[1:1:1]   | passed | 0.00421 seconds |
./spec/controllers/employee_app/mobile_app_controller_spec.rb[1:1:2]   | passed | 0.00539 seconds |
./spec/controllers/employee_app/mobile_app_controller_spec.rb[1:2:1]   | passed | 0.00444 seconds |
./spec/controllers/employee_app/mobile_app_controller_spec.rb[1:2:2]   | passed | 0.00385 seconds |
./spec/controllers/employee_app/mobile_app_controller_spec.rb[1:3:1:1] | passed | 0.00969 seconds |
./spec/controllers/employee_app/mobile_app_controller_spec.rb[1:3:1:2] | passed | 0.00485 seconds |
./spec/controllers/employee_app/mobile_app_controller_spec.rb[1:3:2:1] | passed | 0.00388 seconds |
./spec/controllers/employee_app/mobile_app_controller_spec.rb[1:3:2:2] | passed | 0.00392 seconds |
./spec/controllers/employee_app/mobile_app_controller_spec.rb[1:4:1:1] | passed | 0.00295 seconds |
./spec/controllers/employee_app/mobile_app_controller_spec.rb[1:4:2:1] | passed | 0.00326 seconds |
./spec/controllers/grooms_controller_spec.rb[1:1:1]                    | passed | 0.01198 seconds |
./spec/controllers/grooms_controller_spec.rb[1:1:2]                    | passed | 0.01047 seconds |
./spec/controllers/grooms_controller_spec.rb[1:1:3:1]                  | passed | 0.01339 seconds |
./spec/controllers/grooms_controller_spec.rb[1:2:1]                    | passed | 0.00867 seconds |
./spec/controllers/grooms_controller_spec.rb[1:2:2]                    | passed | 0.0088 seconds  |
./spec/controllers/grooms_controller_spec.rb[1:2:3]                    | passed | 0.02116 seconds |
./spec/controllers/grooms_controller_spec.rb[1:3:1]                    | passed | 0.00528 seconds |
./spec/controllers/grooms_controller_spec.rb[1:4:1:1]                  | passed | 0.00982 seconds |
./spec/controllers/grooms_controller_spec.rb[1:4:1:2]                  | passed | 0.00896 seconds |
./spec/controllers/grooms_controller_spec.rb[1:4:2:1]                  | passed | 0.0149 seconds  |
./spec/controllers/grooms_controller_spec.rb[1:4:2:2]                  | passed | 0.0118 seconds  |
./spec/controllers/grooms_controller_spec.rb[1:4:3]                    | passed | 0.01093 seconds |
./spec/controllers/grooms_controller_spec.rb[1:5:1:1]                  | passed | 0.00931 seconds |
./spec/controllers/grooms_controller_spec.rb[1:5:1:2]                  | passed | 0.01808 seconds |
./spec/controllers/grooms_controller_spec.rb[1:5:1:3]                  | passed | 0.01116 seconds |
./spec/controllers/grooms_controller_spec.rb[1:5:1:4]                  | passed | 0.00874 seconds |
./spec/controllers/grooms_controller_spec.rb[1:5:1:5:1]                | passed | 0.00805 seconds |
./spec/controllers/grooms_controller_spec.rb[1:5:2:1]                  | passed | 0.01542 seconds |
./spec/controllers/grooms_controller_spec.rb[1:5:2:2]                  | passed | 0.01301 seconds |
./spec/controllers/grooms_controller_spec.rb[1:5:2:3:1]                | passed | 0.01212 seconds |
./spec/controllers/grooms_controller_spec.rb[1:5:3:1]                  | passed | 0.01662 seconds |
./spec/controllers/grooms_controller_spec.rb[1:5:3:2]                  | passed | 0.0123 seconds  |
./spec/controllers/grooms_controller_spec.rb[1:5:3:3:1]                | passed | 0.01267 seconds |
./spec/controllers/grooms_controller_spec.rb[1:5:4:1]                  | passed | 0.00624 seconds |
./spec/controllers/grooms_controller_spec.rb[1:5:4:2]                  | passed | 0.00582 seconds |
./spec/controllers/grooms_controller_spec.rb[1:5:4:3:1]                | passed | 0.00552 seconds |
./spec/controllers/grooms_controller_spec.rb[1:5:5:1]                  | passed | 0.00872 seconds |
./spec/controllers/grooms_controller_spec.rb[1:6:1]                    | passed | 0.01207 seconds |
./spec/controllers/grooms_controller_spec.rb[1:6:2]                    | passed | 0.0087 seconds  |
